isin,name,ins_ccy,mic,vendor,symbol,symbol_ccy
AT0000A0E9W5,S&T,EUR,XETR,IEX,SANT-GY,EUR
BE0974293251,AB InBev SA-NV (Anheuser-Busch InBev),EUR,XETR,IEX,1NBA-GY,EUR
DE0005089031,United Internet,EUR,XETR,IEX,UTDI-GY,EUR
DE0005093108,Amadeus FiRe,EUR,XETR,IEX,AAD-GY,EUR
DE0005103006,ADVA,EUR,XETR,IEX,ADV-GY,EUR
DE0005111702,zooplus,EUR,XETR,IEX,ZO1-GY,EUR
DE0005140008,Deutsche Bank,EUR,XETR,IEX,DBK-GY,EUR
DE0005158703,Bechtle,EUR,XETR,IEX,BC8-GY,EUR
DE0005190003,BMW,EUR,XETR,IEX,BMW-GY,EUR
DE0005190037,BMW VZ,EUR,XETR,IEX,BMW3-GY,EUR
DE0005194062,BayWa,EUR,XETR,IEX,BYW6-GY,EUR
DE0005200000,Beiersdorf,EUR,XETR,IEX,BEI-GY,EUR
DE0005313704,Carl Zeiss Meditec,EUR,XETR,IEX,AFX-GY,EUR
DE0005403901,CEWE Stiftung,EUR,XETR,IEX,CWC-GY,EUR
DE0005408116,Aareal Bank,EUR,XETR,IEX,ARL-GY,EUR
DE0005408884,LEONI,EUR,XETR,IEX,LEO-GY,EUR
DE0005419105,CANCOM,EUR,XETR,IEX,COK-GY,EUR
DE0005439004,Continental,EUR,XETR,IEX,CON-GY,EUR
DE0005470306,CTS Eventim,EUR,XETR,IEX,EVD-GY,EUR
DE0005470405,LANXESS,EUR,XETR,IEX,LXS-GY,EUR
DE0005493092,BVB (Borussia Dortmund),EUR,XETR,IEX,BVB-GY,EUR
DE0005493365,Hypoport,EUR,XETR,IEX,HYQ-GY,EUR
DE0005545503,1&1 Drillisch,EUR,XETR,IEX,DRI-GY,EUR
DE0005550636,Drägerwerk,EUR,XETR,IEX,DRW3-GY,EUR
DE0005552004,Deutsche Post,EUR,XETR,IEX,DPW-GY,EUR
DE0005557508,Deutsche Telekom,EUR,XETR,IEX,DTE-GY,EUR
DE0005565204,Dürr,EUR,XETR,IEX,DUE-GY,EUR
DE0005659700,Eckert Ziegler Strahlen- und Medizintechnik,EUR,XETR,IEX,EUZ-GY,EUR
DE0005664809,EVOTEC,EUR,XETR,IEX,EVT-GY,EUR
DE0005772206,Fielmann,EUR,XETR,IEX,FIE-GY,EUR
DE0005773303,Fraport,EUR,XETR,IEX,FRA-GY,EUR
DE0005785604,Fresenius,EUR,XETR,IEX,FRE-GY,EUR
DE0005785802,Fresenius Medical Care,EUR,XETR,IEX,FME-GY,EUR
DE0005790430,FUCHS PETROLUB,EUR,XETR,IEX,FPE3-GY,EUR
DE0005810055,Deutsche Börse,EUR,XETR,IEX,DB1-GY,EUR
DE0005909006,Bilfinger,EUR,XETR,IEX,GBF-GY,EUR
DE0006047004,HeidelbergCement,EUR,XETR,IEX,HEI-GY,EUR
DE0006048432,Henkel vz.,EUR,XETR,IEX,HEN3-GY,EUR
DE0006062144,Covestro,EUR,XETR,IEX,1COV-GY,EUR
DE0006070006,HOCHTIEF,EUR,XETR,IEX,HOT-GY,EUR
DE0006083405,HORNBACH,EUR,XETR,IEX,HBH-GY,EUR
DE0006095003,ENCAVIS,EUR,XETR,IEX,ECV-GY,EUR
DE0006200108,INDUS,EUR,XETR,IEX,INH-GY,EUR
DE0006202005,Salzgitter,EUR,XETR,IEX,SZG-GY,EUR
DE0006219934,Jungheinrich,EUR,XETR,IEX,JUN3-GY,EUR
DE0006231004,Infineon,EUR,XETR,IEX,IFX-GY,EUR
DE0006305006,DEUTZ,EUR,XETR,IEX,DEZ-GY,EUR
DE0006335003,KRONES,EUR,XETR,IEX,KRN-GY,EUR
DE0006450000,LPKF Laser Electronics,EUR,XETR,IEX,LPK-GY,EUR
DE0006452907,Nemetschek,EUR,XETR,IEX,NEM-GY,EUR
DE0006599905,Merck,EUR,XETR,IEX,MRK-GY,EUR
DE0006602006,GEA,EUR,XETR,IEX,G1A-GY,EUR
DE0006632003,MorphoSys,EUR,XETR,IEX,MOR-GY,EUR
DE0006766504,Aurubis (ex Norddeutsche Affinerie),EUR,XETR,IEX,NDA-GY,EUR
DE0006916604,Pfeiffer Vacuum,EUR,XETR,IEX,PFV-GY,EUR
DE0006969603,PUMA,EUR,XETR,IEX,PUM-GY,EUR
DE0007010803,RATIONAL,EUR,XETR,IEX,RAA-GY,EUR
DE0007030009,Rheinmetall,EUR,XETR,IEX,RHM-GY,EUR
DE0007037129,RWE,EUR,XETR,IEX,RWE-GY,EUR
DE0007074007,KWS SAAT,EUR,XETR,IEX,KWS-GY,EUR
DE0007100000,Daimler,EUR,XETR,IEX,DAI-GY,EUR
DE0007164600,SAP,EUR,XETR,IEX,SAP-GY,EUR
DE0007165631,Sartorius vz.,EUR,XETR,IEX,SRT3-GY,EUR
DE0007193500,Koenig Bauer,EUR,XETR,IEX,SKB-GY,EUR
DE0007231326,Sixt,EUR,XETR,IEX,SIX2-GY,EUR
DE0007235301,SGL Carbon,EUR,XETR,IEX,SGL-GY,EUR
DE0007236101,Siemens,EUR,XETR,IEX,SIE-GY,EUR
DE0007257503,Ceconomy St.,EUR,XETR,IEX,CEC-GY,EUR
DE0007297004,Südzucker,EUR,XETR,IEX,SZU-GY,EUR
DE0007446007,TAKKT,EUR,XETR,IEX,TTK-GY,EUR
DE0007480204,Deutsche Euroshop,EUR,XETR,IEX,DEQ-GY,EUR
DE0007493991,Ströer,EUR,XETR,IEX,SAX-GY,EUR
DE0007500001,thyssenkrupp,EUR,XETR,IEX,TKA-GY,EUR
DE0007664039,Volkswagen (VW) vz.,EUR,XETR,IEX,VOW3-GY,EUR
DE0007667107,Vossloh,EUR,XETR,IEX,VOS-GY,EUR
DE0007856023,ElringKlinger,EUR,XETR,IEX,ZIL2-GY,EUR
DE0008019001,pbb,EUR,XETR,IEX,PBB-GY,EUR
DE0008232125,Lufthansa,EUR,XETR,IEX,LHA-GY,EUR
DE0008303504,TAG Immobilien,EUR,XETR,IEX,TEG-GY,EUR
DE0008402215,Hannover Rück,EUR,XETR,IEX,HNR1-GY,EUR
DE0008404005,Allianz,EUR,XETR,IEX,ALV-GY,EUR
DE0008430026,Münchener Rückversicherungs-Gesellschaft,EUR,XETR,IEX,MUV2-GY,EUR
DE000A0D6554,Nordex,EUR,XETR,IEX,NDX1-GY,EUR
DE000A0D9PT0,MTU Aero Engines,EUR,XETR,IEX,MTX-GY,EUR
DE000A0DJ6J9,SMA Solar,EUR,XETR,IEX,S92-GY,EUR
DE000A0HN5C6,Deutsche Wohnen,EUR,XETR,IEX,DWNI-GY,EUR
DE000A0JL9W6,VERBIO Vereinigte BioEnergie,EUR,XETR,IEX,VBK-GY,EUR
DE000A0LD2U1,alstria office REIT-AG,EUR,XETR,IEX,AOX-GY,EUR
DE000A0LD6E6,Gerresheimer,EUR,XETR,IEX,GXI-GY,EUR
DE000A0S8488,HHLA,EUR,XETR,IEX,HHFA-GY,EUR
DE000A0TGJ55,Varta,EUR,XETR,IEX,VAR1-GY,EUR
DE000A0WMPJ6,AIXTRON,EUR,XETR,IEX,AIXA-GY,EUR
DE000A0Z2XN6,RIB Software,EUR,XETR,IEX,RIB-GY,EUR
DE000A0Z2ZZ5,freenet,EUR,XETR,IEX,FNTN-GY,EUR
DE000A12DM80,Scout24,EUR,XETR,IEX,G24-GY,EUR
DE000A13SX22,HELLA,EUR,XETR,IEX,HLE-GY,EUR
DE000A14KEB5,Home24,EUR,XETR,IEX,H24-GY,EUR
DE000A161408,HelloFresh,EUR,XETR,IEX,HFG-GY,EUR
DE000A1DAHH0,Brenntag,EUR,XETR,IEX,BNR-GY,EUR
DE000A1EWWW0,adidas,EUR,XETR,IEX,ADS-GY,EUR
DE000A1H8BV3,NORMA Group,EUR,XETR,IEX,NOEJ-GY,EUR
DE000A1J5RX9,Telefonica Deutschland,EUR,XETR,IEX,O2D-GY,EUR
DE000A1K0235,SÜSS MicroTec,EUR,XETR,IEX,SMHN-GY,EUR
DE000A1ML7J1,Vonovia,EUR,XETR,IEX,VNA-GY,EUR
DE000A1MMCC8,Medios,EUR,XETR,IEX,ILM1-GY,EUR
DE000A1PHFF7,HUGO BOSS,EUR,XETR,IEX,BOSS-GY,EUR
DE000A1X3XX4,DIC Asset,EUR,XETR,IEX,DIC-GY,EUR
DE000A27Z304,BTCetc Bitcoin Exchange Traded Crypto,EUR,XETR,IEX,BTCE-GY,EUR
DE000A288904,CompuGroup Medical,EUR,XETR,IEX,COP-GF,EUR
DE000A2E4K43,Delivery Hero,EUR,XETR,IEX,DHER-GY,EUR
DE000A2GS401,Software,EUR,XETR,IEX,SOW-GY,EUR
DE000A2GS5D8,Dermapharm,EUR,XETR,IEX,DMP-GY,EUR
DE000A2LQ884,AUTO1 Group,EUR,XETR,IEX,AG1-GY,EUR
DE000A2N4H07,Westwing Group,EUR,XETR,IEX,WEW-GY,EUR
DE000A2NB601,JENOPTIK,EUR,XETR,IEX,JEN-GY,EUR
DE000A2NBX80,Instone Real Estate Group,EUR,XETR,IEX,INS-GY,EUR
DE000A2YN900,TeamViewer,EUR,XETR,IEX,TMV-GY,EUR
DE000A3H2333,HAMBORNER REIT,EUR,XETR,IEX,HABA-GY,EUR
DE000BASF111,BASF,EUR,XETR,IEX,BAS-GY,EUR
DE000BAY0017,Bayer,EUR,XETR,IEX,BAYN-GY,EUR
DE000BFB0019,METRO (St.),EUR,XETR,IEX,B4B-GY,EUR
DE000CBK1001,Commerzbank,EUR,XETR,IEX,CBK-GY,EUR
DE000DWS1007,DWS Group,EUR,XETR,IEX,DWS-GY,EUR
DE000ENAG999,E.ON,EUR,XETR,IEX,EOAN-GY,EUR
DE000ENER6Y0,Siemens Energy,EUR,XETR,IEX,ENR-GY,EUR
DE000ETF9090,LYX.1-LY.1 DAX 50 ESG(DR)UC.E,EUR,XETR,IEX,E909-GY,EUR
DE000ETFL250,Deka Stoxx 50 Europe 50 UCITS ETF,EUR,XETR,IEX,EL4Y-GY,EUR
DE000ETFL508,Deka MSCI World UCITS ETF,EUR,XETR,IEX,ELFW-GY,EUR
DE000EVNK013,Evonik,EUR,XETR,IEX,EVK-GY,EUR
DE000FTG1111,flatexDEGIRO,EUR,XETR,IEX,FTK-GY,EUR
DE000HAG0005,HENSOLDT,EUR,XETR,IEX,HAG-GY,EUR
DE000JST4000,JOST Werke,EUR,XETR,IEX,JST-GY,EUR
DE000KBX1006,Knorr-Bremse,EUR,XETR,IEX,KBX-GY,EUR
DE000KC01000,Klöckner,EUR,XETR,IEX,KCO-GY,EUR
DE000KGX8881,KION GROUP,EUR,XETR,IEX,KGX-GY,EUR
DE000KSAG888,K+S,EUR,XETR,IEX,SDF-GY,EUR
DE000LED4000,OSRAM,EUR,XETR,IEX,OSR-GY,EUR
DE000LEG1110,LEG Immobilien,EUR,XETR,IEX,LEG-GY,EUR
DE000NWRK013,New Work,EUR,XETR,IEX,NWO-GY,EUR
DE000PAH0038,Porsche,EUR,XETR,IEX,PAH3-GY,EUR
DE000PAT1AG3,PATRIZIA,EUR,XETR,IEX,PAT-GY,EUR
DE000PSM7770,ProSiebenSat.1 Media,EUR,XETR,IEX,PSM-GY,EUR
DE000SAFH001,SAF-HOLLAND,EUR,XETR,IEX,SFQ-GY,EUR
DE000SHA0159,Schaeffler,EUR,XETR,IEX,SHA-GY,EUR
DE000SHL1006,Siemens Healthineers,EUR,XETR,IEX,SHL-GY,EUR
DE000STRA555,STRATEC,EUR,XETR,IEX,SBS-GY,EUR
DE000SYM9999,Symrise,EUR,XETR,IEX,SY1-GY,EUR
DE000TLX1005,Talanx,EUR,XETR,IEX,TLX-GY,EUR
DE000TRAT0N7,TRATON,EUR,XETR,IEX,8TRA-GY,EUR
DE000UNSE018,Uniper,EUR,XETR,IEX,UN01-GY,EUR
DE000WACK012,Wacker Neuson,EUR,XETR,IEX,WAC-GY,EUR
DE000WAF3001,Siltronic,EUR,XETR,IEX,WAF-GY,EUR
DE000WCH8881,WACKER CHEMIE,EUR,XETR,IEX,WCH-GY,EUR
DE000ZAL1111,Zalando,EUR,XETR,IEX,ZAL-GY,EUR
DE000ZEAL241,ZEAL Network,EUR,XETR,IEX,TIMA-GY,EUR
ES0109067019,Amadeus IT,EUR,XETR,IEX,AI3A-GF,EUR
ES0113900J37,Santander,EUR,XETR,IEX,BSD2-GY,EUR
ES0144580Y14,Iberdrola SA,EUR,XETR,IEX,IBE1-GY,EUR
ES0148396007,Inditex,EUR,XETR,IEX,IXD1-GY,EUR
FI0009013403,Kone,EUR,XETR,IEX,KC4-GY,EUR
FR0000073272,SAFRAN,EUR,XETR,IEX,SEJ1-GF,EUR
FR0000120073,Air Liquide,EUR,XETR,IEX,AIL-GY,EUR
FR0000120271,TOTAL,EUR,XETR,IEX,TOTB-GY,EUR
FR0000120321,LOréal,EUR,XETR,IEX,LOR-GY,EUR
FR0000120578,Sanofi,EUR,XETR,IEX,SNW-GY,EUR
FR0000120628,AXA,EUR,XETR,IEX,AXA-GY,EUR
FR0000120644,Danone,EUR,XETR,IEX,BSN-GY,EUR
FR0000120693,Pernod Ricard,EUR,XETR,IEX,PER-GY,EUR
FR0000121014,LVMH Moet Hennessy Louis Vuitton,EUR,XETR,IEX,MOH-GY,EUR
FR0000121485,Kering,EUR,XETR,IEX,PPX-GY,EUR
FR0000121667,EssilorLuxottica,EUR,XETR,IEX,ESL-GF,EUR
FR0000121972,Schneider Electric,EUR,XETR,IEX,SND-GY,EUR
