description,symbol
DALDRUP & SOEHNE AG,4DS.DE
INCITY IMMOBILIEN AG,IC8.DE
BIOTEST AG,BIO.DE
HAPAG-LLOYD AG,HLAG.DE
ALIBABA GROUP HOLDING-SP ADR,AHLA.DE
TAKE-TWO INTERACTIVE SOFTWRE,TKE.DE
AUTO1 GROUP SE,AG1.DE
CARRIER GLOBAL CORP,4PN.DE
JENOPTIK AG,JEN.DE
IROBOT CORP,I8R.DE
DEUTSCHE LUFTHANSA-REG,LHA.DE
SUESS MICROTEC SE,SMHN.DE
SALESFORCE.COM INC,FOO.DE
BOMBARDIER INC-B,BBDB.DE
ENDOMINES AB,ED01.DE
FEDEX CORP,FDX.DE
EDWARDS LIFESCIENCES CORP,EWL.DE
IDEXX LABORATORIES INC,IX1.DE
FIDELITY NATIONAL INFO SERV,ZGY.DE
WT ENERGY LONGER DATED,9GAG.DE
BNP PAR RICI ENH GASOLINE,BNQG.DE
M & T BANK CORP,MTZ.DE
LION E-MOBILITY AG,LMI.DE
TWITTER INC,TWR.DE
VALARTIS GROUP AG-BR,OZH1.DE
3U HOLDING AG,UUU.DE
WT EURO STOXX50 3X DLY SHORT,PCFC.DE
AD PEPPER MEDIA INTL NV,APM.DE
L'OREAL,LOR.DE
STARBUCKS CORP,SRB.DE
ORMAT TECHNOLOGIES INC,HNM.DE
URANIUM ENERGY CORP,U6Z.DE
ADVA OPTICAL NETWORKING SE,ADV.DE
YAMANA GOLD INC,RNY.DE
EASY SOFTWARE AG,ESY.DE
DELTA TECHNOLOGIES NYRT,E8E4.DE
VERIZON COMMUNICATIONS INC,BAC.DE
DEFAMA AG,DEF.DE
WT GOLD 3X DAILY LEVERAGED,PCFP.DE
BORUSSIA DORTMUND GMBH & CO,BVB.DE
BNP PAR RICI ENH TIN TR,BNQS.DE
TAPESTRY INC,COY.DE
TMC CONTENT GROUP AG,ERO1.DE
SYZYGY AG,SYZ.DE
KONINKLIJKE PHILIPS NV,PHI1.DE
11 88 0 SOLUTIONS AG,TGT.DE
WT WHEAT 2X DAILY LEVERAGED,4RUJ.DE
ADOBE INC,ADB.DE
COUPA SOFTWARE INC,2C0.DE
SALZGITTER AG,SZG.DE
BROADCOM INC,1YD.DE
ODP CORP/THE,ODP1.DE
ORBIS AG,OBS.DE
WT NASDAQ 100 3X DAILY SHORT,3QSS.DE
ALLGEIER SE,AEIN.DE
BNP PAR RICI ENH BRENT CRUDE,BNQC.DE
MEDIA AND GAMES INVEST PLC,M8G.DE
EVERGY INC,3E7.DE
BAXTER INTERNATIONAL INC,BTL.DE
ANGLO AMERICAN PLC-SPONS ADR,NGLD.DE
REALTECH AG,RTC.DE
VODAFONE GROUP PLC,VODI.DE
EATON VANCE CORP,EVCN.DE
MATCH GROUP INC,4MGN.DE
ISH MSCI JPN ESG EHNCD USD-D,EMNJ.DE
GROUNDS REAL ESTATE DEV/THE,AMMN.DE
AMERIPRISE FINANCIAL INC,A4S.DE
DROPBOX INC-CLASS A,1Q5.DE
CREE INC,CR6.DE
NORTHERN DATA AG,NB2.DE
MELBANA ENERGY LTD,MU9.DE
DIGITAL REALTY TRUST INC,FQI.DE
XTRACKER OIL ETC EUR HDG,XETC.DE
TELEKOM AUSTRIA AG,TA1.DE
MYHAMMER HOLDING AG,MYRK.DE
BANK OF NEW YORK MELLON CORP,BN9.DE
CROWN CASTLE INTL CORP,8CW.DE
CONTINENTAL AG,CON.DE
DEUTSCHE PFANDBRIEFBANK AG,PBB.DE
CENIT AG,CSH.DE
PVA TEPLA AG,TPE.DE
CHARLES RIVER LABORATORIES,RV6.DE
MARSH & MCLENNAN COS,MSN.DE
KONINKLIJKE AHOLD DELHAIZE N,AHOG.DE
ANTHEM INC,A58.DE
BANCO SANTANDER SA,BSD2.DE
WT AGRICULTURE 2X DLY LVRGD,4RTR.DE
CANCOM SE,COK.DE
STABILUS SA,STM.DE
COTY INC-CL A,CO3A.DE
WT LONG CNY SHORT USD,XBJE.DE
GLU MOBILE INC,F2P.DE
DEUTSCHE WOHNEN SE,DWNI.DE
COEUR MINING INC,CDM1.DE
BARKBY GROUP PLC/THE,3WY.DE
MOLOGEN AG,MGNK.DE
WT INDUS METALS LONGER DATED,9GAK.DE
NEW WORK SE,NWO.DE
GENTEX CORP,GTX.DE
WT SUGAR 2X DAILY LEVERAGED,4RUH.DE
SUEDZUCKER AG,SZU.DE
LEIFHEIT AG,LEI.DE
AKASOL AG,ASL.DE
HANSEYACHTS AG,H9Y.DE
CISCO SYSTEMS INC,CIS.DE
RINGCENTRAL INC-CLASS A,3RCA.DE
FIRST SOLAR INC,F3A.DE
CIGNA CORP,CGN.DE
WT NICKEL,OD7M.DE
CECONOMY AG,CEC.DE
PUBLIC STORAGE,PUP.DE
ALEXION PHARMACEUTICALS INC,AXP.DE
KINDER MORGAN INC,2KD.DE
AMETEK INC,AK1.DE
DISCOVERY INC - A,DC6.DE
SAIPEM SPA,SPE1.DE
IGP ADVANTAG AG,A62.DE
VOSSLOH AG,VOS.DE
HIGHLIGHT COMMUNICATIONS-BR,HLG.DE
BAKER HUGHES CO,68V.DE
BNP PAR RICI ENH COPPER TR,BNQP.DE
BNP PARIBAS COPPER ETC,B4NQ.DE
KLA CORP,KLA.DE
ARBONIA AG,ANGA.DE
DEUTSCHE POST AG-REG,DPW.DE
WT COPPER - EUR DAILY HEDGED,00XL.DE
SWISS RE AG,SR9.DE
MAGFORCE AG-BEAR,MF6.DE
MVV ENERGIE AG,MVV1.DE
BACKBONE TECHNOLOGY AG-BR,AO9.DE
PARAGON GMBH & CO KGAA,PGN.DE
BLACKROCK INC,BLQA.DE
SKYHARBOUR RESOURCES LTD,SC1P.DE
MACOM TECHNOLOGY SOLUTIONS H,1MA.DE
WARIMPEX FINANZ- UND BETEILI,WFS.DE
LULULEMON ATHLETICA INC,33L.DE
MVISE AG,C1V.DE
SOLARIS OILFIELD INFRAST-A,68S.DE
DESPEGAR.COM CORP,D3G.DE
CITIGROUP INC,TRVC.DE
SEMPRA ENERGY,SE4.DE
MYBUCKS SA,MBC.DE
FORMYCON AG,FYB.DE
BNP PAR RICI ENH GAS OIL,B4NI.DE
NOKIA CORP-SPON ADR,NOAA.DE
BRISTOL-MYERS SQUIBB CO,BRM.DE
COGNIZANT TECH SOLUTIONS-A,COZ.DE
GFT TECHNOLOGIES SE,GFT.DE
BNP PAR ENH GASOLINE ER,0GZF.DE
ABERCROMBIE & FITCH CO-CL A,AFT.DE
WT NATURAL GAS 1X DLY SHORT,4RTD.DE
NORFOLK SOUTHERN CORP,NFS.DE
AMERISOURCEBERGEN CORP,ABG.DE
STS GROUP AG,SF3.DE
WT GOLD 1X DAILY SHORT,9GA9.DE
HEIDELBERGER DRUCKMASCHINEN,HDD.DE
XTRACKER PALL ETC EUR HDG,XAD4.DE
UNISYS CORP,USY1.DE
DOLLAR GENERAL CORP,7DG.DE
ASANTE GOLD CORP,1A9.DE
SPIELVEREINIGUNG UNTERHACHIN,S6P.DE
BAYWA-BAYERISCHE WARENVERMIT,BYW6.DE
OMNICOM GROUP,OCN.DE
PAYCHEX INC,PCX.DE
AVALONBAY COMMUNITIES INC,WV8.DE
ALCOA CORP,185.DE
WT SHORT CNY LONG USD,XBJF.DE
WT COTTON,OD7E.DE
MATERNUS-KLINIKEN AG,MAK.DE
REAL MATTERS INC,R3E.DE
CEYLON GRAPHITE CORP,CCY.DE
TECHNOTRANS SE,TTR1.DE
DEUTSCHE INDUSTRIE REIT AG,JB7.DE
21SHARES SHORT BITCOIN ETP,21XS.DE
ZSCALER INC,0ZC.DE
HP INC,7HP.DE
ABO WIND AG,AB9.DE
GREENYARD NV,2P1.DE
2G ENERGY AG,2GB.DE
ZOOM VIDEO COMMUNICATIONS-A,5ZM.DE
TRANSUNION,1TU.DE
WT BRENT CRUDE OIL PRE-ROLL,0LJD.DE
RELIQ HEALTH TECHNOLOGIES IN,MHN2.DE
PAYCOM SOFTWARE INC,0PY.DE
BASLER AG,BSL.DE
TYSON FOODS INC-CL A,TF7A.DE
AGCO CORP,AGJ.DE
RWE AKTIENGESELLSCHAF-SP ADR,RWEA.DE
NUANCE COMMUNICATIONS INC,SC2.DE
BNP PAR RICI ENH ALUMINIUM,BNQN.DE
LEAF GROUP LTD,DJM1.DE
VEEVA SYSTEMS INC-CLASS A,VEE.DE
VST BUILDING TECHNOLOGIES AG,1T2.DE
EQUITABLE HOLDINGS INC,AXJ.DE
CHARTER COMMUNICATIONS INC-A,CQD.DE
CR CAPITAL AG,CRZK.DE
INFLARX NV,IF0.DE
DELIVERY HERO SE,DHER.DE
SYNBIOTIC SE,L3D.DE
WT INDUSTRIAL METALS,OD7Z.DE
MLP SE,MLP.DE
TTL BETEILIGUNGS UND GRUNDBE,TTO.DE
VISCOM AG,V6C.DE
MONDELEZ INTERNATIONAL INC-A,KTF.DE
MAN SE,MAN.DE
INTICA SYSTEMS AG,IS7.DE
CENTERPOINT ENERGY INC,HOU.DE
STEMMER IMAGING AG,S9I.DE
NOVO NORDISK A/S-B,NOVC.DE
SHS VIVEON AG,SHWK.DE
JDC GROUP AG,JDC.DE
ADES INTERNATIONAL HOLDING P,9HA.DE
ITN NANOVATION AG,I7N.DE
DEUTZ AG,DEZ.DE
PALO ALTO NETWORKS INC,5AP.DE
FIRSTENERGY CORP,FE7.DE
BAYER AG-SPONSORED ADR,BAYA.DE
DEUTSCHE TELEKOM AG-SPON ADR,DTEA.DE
WT SILVER 1X DAILY SHORT,4RTF.DE
WESTGRUND AG,WEG1.DE
FIRST MAJESTIC SILVER CORP,FMV.DE
AMALPHI AG,AMI.DE
ALLY FINANCIAL INC,GMZ.DE
